id,name,site_buy,date,town,price,age,img_url,content,id_cultural
593,Тренинг «Арт-мастерская души и тела»,0,31 августа 2015,Москва,100 — 600,18+,https://www.2do2go.ru/uploads/98e839ab52c6e157310b81d52ddbd54a_w500_h500.jpg,0,0
594,Интенсив по живописи,0,12 апреля 2015,Москва,от 2000,12+,https://www.2do2go.ru/uploads/12aea0b18297715b1847a03b4b8dda23_w500_h500.jpg,0,0
595,Мастер-класс по ораторскому мастерству,0,16 января 2016,Москва,1000 — 1500,16+,https://www.2do2go.ru/uploads/f46d16ba270ff26ca5b84dc7ae77b019_w500_h500.jpg,0,0
596,Открытое занятие в детской театральной студии,0,14 января 2016,Москва,0,6+,https://www.2do2go.ru/uploads/6713e2e8d8157e0036c9bab03f883240_w500_h500.jpg,0,0
597,Уникальный экспресс-курс актерского и ораторского мастерства,0,25 октября 2015,Москва,9900,16+,https://www.2do2go.ru/uploads/1c63079c53434889810d35cede49b5d9_w500_h500.jpg,0,0
598,Авторский курс риторики и ораторского искусства от Марины Зайцевой,0,26 октября 2015,Москва,12000,16+,https://www.2do2go.ru/uploads/f46d16ba270ff26ca5b84dc7ae77b019_w500_h500.jpg,0,0
599,День открытых дверей в детской театральной студии «Твоя сцена»,0,3 сентября 2015,Москва,0,6+,https://www.2do2go.ru/uploads/40720abc4dca948485b03bc9eb78b50a_w500_h500.jpg,0,0
600,Квартирник RussiaDiscovery,0,21 сентября 2017,Москва,0,0+,https://www.2do2go.ru/uploads/43dbfa41475a957699a122977a9569f1_w500_h500.jpg,"Лето закончилось, а это значит настает сладостное время воспоминаний о том, как это было! Самые отъявленные путешественники по России — команда RussiaDiscovery — спешат поделиться с вами свежими впечатлениями от невероятных уголков нашей страны.<br /> В программе вечера: <ul><li>«Краски Кольского»<b> </b>— рассказ про тревел-фотографию, северное сияние, эхо войны и холодный океан;<br /></li><li>«Заповедный остров Врангеля» — рассказ о загадочной аллее китов, моржах и белых медведях, арктической регате национальных судов «Берингия».<br /></li></ul>     Только личные впечатления, яркие фотографии, много-много эмоций и большая Q&amp;A сессия, на которой будут рассказы о том, что вы давно хотели узнать, но боялись спросить о путешествиях по России.   Как всегда, до и после выступлений — угощения, книги и общение с командой RussiaDiscovery. Мероприятие бесплатное. Регистрация и подробности — на  Телефон для справок: +7 (926) 600-43-32.",0
601,Конференция «Мама может»,0,30 октября 2014,Москва,0,12+,https://www.2do2go.ru/uploads/e15cce545a505c22bb635777d07cb549_w500_h500.jpg,0,0
602,Вечеринка «Платье или кошелек»,0,25 октября 2014,Москва,до 1000,12+,https://www.2do2go.ru/uploads/49b2e25eb8981162d93f55e356b66122_w500_h500.jpg,0,0
603,Блошиный рынок Cat&amp;Fox,0,26 октября 2014,Москва,0,12+,https://www.2do2go.ru/uploads/aca3ee4e09d6a2b1b82aaa5a3e612f1e_w500_h500.jpg,0,0
604,Выставка «Настасья Филипповна и другие»,0,26 октября 2014,Москва,0,12+,https://www.2do2go.ru/uploads/bf1e3d167b624709793a8f34c0fb2461_w500_h500.jpg,0,0
605,Ночь искусств в ДК «Заречье»,0,4 ноября 2018,Москва,0,6+,https://www.2do2go.ru/uploads/8885f62b7806fdde300681d51e46e433_w500_h500.jpg,"В программе примут участие ведущие творческие коллективы города Москвы: хор «Русская песня», ансамбль народной песни «Вдохновение», хореографический коллектив «Антарес», театр танца «Отражение». Также прозвучат тематические песни в исполнении вокальных кружков «Стань звездой» и «Пой со мной». В фойе дома культуры в 19:00 начнется творческая встреча двух поколений – участников молодежных клубных формирований (клуба любителей рэпа «ВБиТ», вокального кружка «Стань звездой»), только открывающих для себя мир искусства, и людей старшего поколения (участников ансамбля народной песни «Вдохновение»). Главная темой этой дискуссии под названием «Секреты современных битов» – история зарождения и развития субкультуры. <b>Другие события в рамках акции «Ночь искусств»</b>",0
606,Мюзикл «Грибной переполох»,0,24 ноября 2018,Москва,400 — 1200,6+,https://www.2do2go.ru/uploads/a8ba15f09ef8743536b64fce3a2d64ad_w500_h500.jpg,"«Грибной переполох» – веселый спектакль о сватовстве в сказочной грибной стране. Царь Боровик вздумал на старости лет жениться, но его планы могут разрушить счастье красавицы Сыроежки и царевича Подосинника. Министр Мухомор хочет взойти на престол и готовит государственный переворот, а его сообщница – обворожительная Поганка − травит всех подряд смертельным зельем. Не обошлось в этой истории без похищений и смотрин невест, яростных боев стрельцов-рыжиков с подручными Мухомора, хороводов и застолий. В итоге, как и положено в сказке, добро побеждает зло, молодые влюбленные садятся за свадебный стол пировать, а злодеи получают по заслугам.",0
607,Спектакль «Новогодние проказы лисы Алисы и кота Базилио»,http://teatr-chikhachev.ru/rep/ny08.htm,7 января 2018,Москва,400 — 1500,0+,https://www.2do2go.ru/uploads/b3344cc6f83ca20efdcef710eea76bee_w500_h500.jpg,"Новогодняя музыкальная сказка на либретто Г. Чихачёва, музыка Т. Петровой. Продолжительность спектакля – 1 час 20 мин. Премьера состоялась 26 декабря 1988 года. Режиссёр-постановщик – заслуженный деятель искусств РФ Геннадий Чихачёв.   Театр готовится встречать Новый 2018 год и готовит зрителям настоящий сюрприз. Где только ни встречали ребята любимого Деда Мороза и его внучку Снегурочку! Разве что в Стране дураков? Новогодняя музыкальная сказка поведает ребятам о приключениях мальчика Алёши, который обижал своих игрушечных друзей – лису Алису и кота Базилио. Но в один момент они решили от него сбежать...",0
608,Концерт «Вечер мюзикла»,0,11 августа 2018,Москва,от 500,12+,https://www.2do2go.ru/uploads/d824d73a2b076a996cc382142a5d4a6d_w500_h500.jpg,"Ответить на вопрос, что такое мюзикл, одновременно просто и сложно. В современном понимании это – драматическое произведение, в котором содержание передается с помощью слитых в единое целое, доступных широкому зрителю музыки, песни и танца. Для мюзикла характерна синтетичность: вокальные и танцевальные номера, музыкальное сопровождение, с обязательными динамичностью действия и разнообразием песенных музыкальных форм. В «Вечере мюзикла» Геннадий Чихачев собрал только лучшее. Известные арии из зарубежных и русских мюзиклов: «Иисус Христос – суперзвезда», «Кошки», «Русалочка», «Моя прекрасная леди» и «Анна Каренина».",0
609,Музыкальная сказка «Зайка-почтальон»,0,22 июня 2019,Москва,600 — 1500,0+,https://www.2do2go.ru/uploads/4406e4922e47381347e30ea73f2a809a_w500_h500.jpg,"«Зайка-почтальон» – это музыкальна сказка по мотивам русских народных сказок, но не обычная, а спектакль-игра! Ребенку много не нужно: взял кубики, и вот у него уже сказочный лес, взял солнышко – день, убрал – ночь. Дети воспринимают театр не так, как взрослые: театр для них (лет до 12) – это естественное продолжение их жизни, в которой игра занимает достаточно большое место.  Для детей артисты – те немногие взрослые, с которыми можно играть, поэтому так велико стремление детей участвовать в происходящем на сцене! Взрослые же зрители получат особое удовольствие от совместного времяпровождения с детьми, которого чаще всего и не достает в жизни.<br /> Сказка о невероятной дружбе зверушек, которыми руководит самый обычный мальчик.",0
